,Durchgang,Uhrzeit,Gebotindex,Geber,Ausgangswert,Anteil,Angebotskategorie,Reaktion,Reaktionszeit,subjectID,Teil
104,105,08:51:20:328,44,48.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,833.0,5,1
106,107,08:51:29:781,141,149.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,586.9,5,1
107,108,08:51:36:328,33,37.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,626.9,5,1
108,109,08:51:42:140,239,253.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,671.8,5,1
109,110,08:51:48:031,58,62.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,577.3,5,1
110,111,08:51:52:718,138,146.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,681.5,5,1
112,113,08:52:04:671,36,40.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,529.0,5,1
114,115,08:52:16:968,179,189.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,696.4,5,1
115,116,08:52:21:671,104,110.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,466.4,5,1
117,118,08:52:30:515,34,38.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,692.7,5,1
118,119,08:52:37:296,162,172.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,603.1,5,1
119,120,08:52:42:578,222,236.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,573.5,5,1
120,121,08:52:47:375,18,18.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,316.2,5,1
121,122,08:52:53:343,86,92.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,554.3,5,1
123,124,08:53:03:906,145,153.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,583.8,5,1
124,125,08:53:08:671,174,184.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,495.1,5,1
126,127,08:53:19:375,154,164.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,574.7,5,1
127,128,08:53:24:765,216,230.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,509.1,5,1
128,129,08:53:29:578,42,46.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,490.2,5,1
129,130,08:53:34:703,225,239.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,746.9,5,1
131,132,08:53:45:687,157,167.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,551.5,5,1
132,133,08:53:49:734,98,104.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,724.4,5,1
133,134,08:53:55:843,235,249.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,717.2,5,1
134,135,08:54:00:484,135,143.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,377.9,5,1
135,136,08:54:05:718,125,133.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,477.7,5,1
136,137,08:54:10:062,221,235.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,598.5,5,1
137,138,08:54:14:328,24,24.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,314.1,5,1
138,139,08:54:19:796,205,217.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,445.0,5,1
139,140,08:54:26:765,169,179.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,500.2,5,1
0,1,08:55:32:609,75,81.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,594.5,5,2
1,2,08:55:37:203,72,78.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,489.1,5,2
2,3,08:55:42:687,76,82.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,363.5,5,2
3,4,08:55:49:453,188,200.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,410.7,5,2
4,5,08:55:54:140,219,233.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,500.6,5,2
5,6,08:56:01:921,166,176.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,394.7,5,2
6,7,08:56:06:875,96,102.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,514.6,5,2
7,8,08:56:12:625,54,58.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,698.2,5,2
8,9,08:56:20:453,207,219.0,11.0,5.0,Topf_klein_Aufteilung3,Angenommen,573.6,5,2
10,11,08:56:30:281,100,106.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,520.1,5,2
11,12,08:56:36:890,215,229.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,725.9,5,2
13,14,08:56:49:078,182,194.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,249.4,5,2
14,15,08:56:53:343,229,243.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,373.0,5,2
15,16,08:56:57:625,137,145.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,519.8,5,2
16,17,08:57:03:328,217,231.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,705.5,5,2
17,18,08:57:08:546,52,56.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,494.5,5,2
18,19,08:57:12:578,49,53.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,491.4,5,2
19,20,08:57:18:125,136,144.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,531.2,5,2
20,21,08:57:23:812,116,122.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,549.4,5,2
21,22,08:57:28:765,228,242.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,781.3,5,2
22,23,08:57:33:500,93,99.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,478.0,5,2
23,24,08:57:39:859,173,183.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,613.2,5,2
24,25,08:57:46:593,4,4.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,645.1,5,2
25,26,08:57:51:640,210,222.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,625.0,5,2
27,28,08:58:02:625,57,61.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,493.0,5,2
28,29,08:58:06:609,234,248.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,804.6,5,2
30,31,08:58:15:890,77,83.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,461.4,5,2
31,32,08:58:22:000,175,185.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,558.2,5,2
32,33,08:58:25:984,89,95.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,797.1,5,2
34,35,08:58:35:906,148,156.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,380.2,5,2
35,36,08:58:40:609,94,100.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,615.0,5,2
36,37,08:58:46:906,83,89.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,648.3,5,2
37,38,08:58:51:781,6,6.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,378.9,5,2
38,39,08:58:55:718,11,11.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,395.9,5,2
39,40,08:59:01:593,79,85.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,494.8,5,2
40,41,08:59:08:375,25,25.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,444.5,5,2
42,43,08:59:17:875,107,113.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,476.5,5,2
43,44,08:59:24:828,149,157.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,491.6,5,2
44,45,08:59:29:046,59,65.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,481.8,5,2
46,47,08:59:38:484,85,91.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,387.8,5,2
47,48,08:59:46:984,123,131.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,292.2,5,2
48,49,08:59:53:156,90,96.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,275.0,5,2
49,50,08:59:58:468,236,250.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,276.7,5,2
50,51,09:00:02:656,128,136.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,475.6,5,2
51,52,09:00:08:812,160,170.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,458.3,5,2
52,53,09:00:15:046,178,188.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,454.4,5,2
53,54,09:00:19:781,7,7.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,295.0,5,2
54,55,09:00:24:890,103,109.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,582.1,5,2
56,57,09:00:35:718,40,44.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,483.0,5,2
57,58,09:00:42:015,158,168.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,421.0,5,2
59,60,09:00:51:828,144,152.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,552.8,5,2
61,62,09:01:04:250,28,28.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,490.3,5,2
62,63,09:01:09:578,198,210.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,395.3,5,2
64,65,09:01:17:890,117,123.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,531.1,5,2
65,66,09:01:24:859,105,111.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,321.5,5,2
66,67,09:01:29:031,63,69.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,415.4,5,2
67,68,09:01:34:609,14,14.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,552.1,5,2
68,69,09:01:39:421,19,19.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,533.3,5,2
69,70,09:01:45:375,67,73.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,252.9,5,2
70,71,09:01:50:656,187,199.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,455.3,5,2
72,73,09:02:02:843,43,47.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,578.8,5,2
73,74,09:02:07:359,51,55.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,476.2,5,2
74,75,09:02:13:421,21,21.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,439.7,5,2
75,76,09:02:20:281,10,10.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,442.1,5,2
76,77,09:02:24:828,196,208.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,634.8,5,2
78,79,09:02:34:234,203,215.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,390.9,5,2
79,80,09:02:39:562,206,218.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,431.3,5,2
81,82,09:02:52:359,237,251.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,234.5,5,2
82,83,09:02:58:531,45,49.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,265.2,5,2
83,84,09:03:04:578,165,175.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,540.0,5,2
84,85,09:03:09:718,183,195.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,501.2,5,2
85,86,09:03:16:312,238,252.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,714.4,5,2
86,87,09:03:22:125,12,12.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,607.2,5,2
88,89,09:03:32:343,106,112.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,306.3,5,2
89,90,09:03:37:500,65,71.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,242.1,5,2
90,91,09:03:44:765,109,115.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,389.1,5,2
91,92,09:03:51:187,35,39.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,361.0,5,2
92,93,09:03:55:468,73,79.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,484.4,5,2
93,94,09:04:01:406,132,140.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,484.6,5,2
94,95,09:04:06:609,124,132.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,593.8,5,2
95,96,09:04:12:343,120,126.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,986.0,5,2
96,97,09:04:17:625,139,147.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,293.2,5,2
97,98,09:04:21:062,159,169.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,553.7,5,2
98,99,09:04:27:718,122,130.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,476.9,5,2
99,100,09:04:34:203,60,66.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,623.5,5,2
100,101,09:04:39:953,30,34.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,622.3,5,2
101,102,09:04:45:625,164,174.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,561.3,5,2
102,103,09:04:50:234,41,45.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,263.3,5,2
103,104,09:04:55:609,81,87.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,614.4,5,2
104,105,09:05:02:062,114,120.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,609.0,5,2
106,107,09:05:12:609,146,154.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,247.2,5,2
107,108,09:05:17:125,26,26.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,472.7,5,2
108,109,09:05:21:671,82,88.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,360.7,5,2
109,110,09:05:28:046,113,119.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,359.4,5,2
111,112,09:05:36:484,193,205.0,11.0,5.0,Topf_klein_Aufteilung3,Angenommen,450.5,5,2
112,113,09:05:41:968,167,177.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,629.5,5,2
113,114,09:05:46:390,163,173.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,506.2,5,2
114,115,09:05:50:453,161,171.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,462.6,5,2
115,116,09:05:54:718,129,137.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,658.0,5,2
116,117,09:05:59:906,214,228.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,448.0,5,2
117,118,09:06:04:000,172,182.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,458.7,5,2
118,119,09:06:08:593,31,35.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,241.6,5,2
119,120,09:06:14:875,38,42.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,450.8,5,2
120,121,09:06:19:500,9,9.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,232.3,5,2
121,122,09:06:23:656,204,216.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,512.4,5,2
122,123,09:06:29:078,171,181.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,237.6,5,2
123,124,09:06:34:312,153,163.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,466.0,5,2
124,125,09:06:40:296,223,237.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,512.1,5,2
125,126,09:06:45:953,218,232.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,611.1,5,2
126,127,09:06:51:437,102,108.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,470.2,5,2
127,128,09:06:55:828,66,72.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,564.9,5,2
128,129,09:07:02:484,111,117.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,376.1,5,2
129,130,09:07:09:406,29,33.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,343.9,5,2
130,131,09:07:14:968,13,13.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,263.5,5,2
132,133,09:07:28:562,220,234.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,1081.8,5,2
133,134,09:07:36:890,200,212.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,361.6,5,2
135,136,09:07:48:671,195,207.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,381.3,5,2
136,137,09:07:53:140,133,141.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,504.7,5,2
137,138,09:07:58:875,177,187.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,632.9,5,2
139,140,09:08:09:515,186,198.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,331.0,5,2
140,Gesamtkennwerte der Versuchsperson,,,,,,,,,5,2
141,"Kennwerte für die verschiedenen Ausgangskonstellationen, Reihenfolge Anzahl, Reaktionsmittelwert",,,,,,,,,5,2
142,Topf_klein_Aufteilung1:,78,507,507.0,1.0,,,,,5,2
143,Topf_klein_Aufteilung2:,32,424,424.0,0.0,,,,,5,2
144,Topf_klein_Aufteilung3:,8,467,467.0,0.0,,,,,5,2
145,Topf_gross_Aufteilung1:,0,0,0.0,55.0,,,,,5,2
146,Topf_gross_Aufteilung2:,34,544,544.0,0.0,,,,,5,2
147,Topf_gross_Aufteilung3:,31,483,483.0,0.0,,,,,5,2
148,Fehler:,1,,,,,,,,5,2
149,Zusatzbetrag:,20,,,,,,,,5,2
0,1,09:26:23:171,163,173.0,11.0,1.0,Topf_klein_Aufteilung1,Fehler,0.0,6,1
1,2,09:26:30:000,87,93.0,19.0,3.0,Topf_gross_Aufteilung2,Abgelehnt,412.6,6,1
3,4,09:26:40:796,40,44.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,352.0,6,1
4,5,09:26:45:328,218,232.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,448.7,6,1
5,6,09:26:49:421,19,19.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,731.7,6,1
6,7,09:26:54:468,105,111.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,463.6,6,1
7,8,09:27:00:171,186,198.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,400.6,6,1
9,10,09:27:10:703,110,116.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,431.3,6,1
10,11,09:27:16:093,139,147.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,453.1,6,1
12,13,09:27:26:796,102,108.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,476.6,6,1
13,14,09:27:32:562,131,139.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,412.1,6,1
14,15,09:27:38:187,114,120.0,19.0,1.0,Topf_gross_Aufteilung1,Angenommen,536.4,6,1
15,16,09:27:43:562,189,201.0,19.0,5.0,Topf_gross_Aufteilung3,Abgelehnt,543.5,6,1
17,18,09:27:56:390,226,240.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,753.4,6,1
18,19,09:27:59:500,212,226.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,739.3,6,1
19,20,09:28:05:906,153,163.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,337.4,6,1
20,21,09:28:13:687,31,35.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,590.6,6,1
21,22,09:28:19:796,141,149.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,511.4,6,1
22,23,09:28:26:109,81,87.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,560.7,6,1
24,25,09:28:35:734,98,104.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,467.4,6,1
25,26,09:28:41:859,137,145.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,348.1,6,1
26,27,09:28:46:953,173,183.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,486.0,6,1
27,28,09:28:51:046,59,65.0,11.0,3.0,Topf_klein_Aufteilung2,Abgelehnt,448.9,6,1
28,29,09:28:56:234,206,218.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,414.8,6,1
30,31,09:29:04:796,82,88.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,413.1,6,1
32,33,09:29:15:328,220,234.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,540.0,6,1
33,34,09:29:21:140,44,48.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,352.9,6,1
35,36,09:29:31:906,217,231.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,477.6,6,1
36,37,09:29:37:781,5,5.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,552.5,6,1
37,38,09:29:42:406,161,171.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,589.1,6,1
38,39,09:29:47:031,77,83.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,530.6,6,1
39,40,09:29:52:031,80,86.0,19.0,3.0,Topf_gross_Aufteilung2,Abgelehnt,464.5,6,1
40,41,09:29:56:140,63,69.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,354.7,6,1
41,42,09:30:02:015,42,46.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,380.9,6,1
42,43,09:30:06:890,71,77.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,448.2,6,1
43,44,09:30:12:359,14,14.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,531.1,6,1
44,45,09:30:16:937,155,165.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,530.7,6,1
45,46,09:30:21:640,65,71.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,1235.8,6,1
46,47,09:30:26:750,122,130.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,501.8,6,1
47,48,09:30:30:781,214,228.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,603.4,6,1
48,49,09:30:37:562,147,155.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,504.6,6,1
49,50,09:30:42:859,177,187.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,523.0,6,1
50,51,09:30:49:421,164,174.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,529.6,6,1
51,52,09:30:55:109,119,125.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,371.8,6,1
52,53,09:31:00:921,181,193.0,11.0,5.0,Topf_klein_Aufteilung3,Angenommen,393.3,6,1
53,54,09:31:06:984,184,196.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,540.2,6,1
54,55,09:31:11:203,231,245.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,449.6,6,1
55,56,09:31:16:078,56,60.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,717.0,6,1
56,57,09:31:21:046,185,197.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,683.5,6,1
58,59,09:31:31:937,193,205.0,11.0,5.0,Topf_klein_Aufteilung3,Angenommen,515.6,6,1
59,60,09:31:36:953,3,3.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,561.5,6,1
60,61,09:31:41:609,126,134.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,749.5,6,1
62,63,09:31:51:796,21,21.0,19.0,3.0,Topf_gross_Aufteilung2,Abgelehnt,625.2,6,1
63,64,09:31:56:234,194,206.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,478.0,6,1
64,65,09:32:03:078,30,34.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,545.7,6,1
66,67,09:32:17:031,113,119.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,469.9,6,1
67,68,09:32:22:453,134,142.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,370.2,6,1
68,69,09:32:27:734,78,84.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,437.4,6,1
69,70,09:32:34:453,99,105.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,501.8,6,1
71,72,09:32:46:875,95,101.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,511.9,6,1
72,73,09:32:51:625,192,204.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,447.9,6,1
73,74,09:32:58:296,180,190.0,11.0,5.0,Topf_klein_Aufteilung3,Angenommen,498.4,6,1
74,75,09:33:02:765,211,225.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,525.8,6,1
75,76,09:33:07:140,240,254.0,11.0,1.0,Topf_klein_Aufteilung1,Angenommen,484.7,6,1
76,77,09:33:11:312,12,12.0,19.0,3.0,Topf_gross_Aufteilung2,Abgelehnt,548.3,6,1
77,78,09:33:15:750,188,200.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,409.0,6,1
78,79,09:33:19:796,45,49.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,517.3,6,1
79,80,09:33:25:921,140,148.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,502.7,6,1
80,81,09:33:32:328,66,72.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,547.3,6,1
81,82,09:33:37:703,136,144.0,19.0,1.0,Topf_gross_Aufteilung1,Angenommen,426.4,6,1
83,84,09:33:50:234,76,82.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,583.7,6,1
84,85,09:33:56:484,143,151.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,531.1,6,1
85,86,09:34:01:515,111,117.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,543.7,6,1
86,87,09:34:07:515,27,27.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,477.8,6,1
87,88,09:34:11:500,165,175.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,460.2,6,1
88,89,09:34:17:859,86,92.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,459.4,6,1
89,90,09:34:23:625,32,36.0,11.0,5.0,Topf_klein_Aufteilung3,Angenommen,426.2,6,1
91,92,09:34:34:140,219,233.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,425.9,6,1
92,93,09:34:40:156,229,243.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,502.7,6,1
93,94,09:34:46:609,62,68.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,377.9,6,1
94,95,09:34:51:796,48,52.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,520.5,6,1
95,96,09:34:56:937,183,195.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,448.2,6,1
96,97,09:35:01:250,68,74.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,546.5,6,1
97,98,09:35:07:312,182,194.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,453.1,6,1
98,99,09:35:11:812,162,172.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,399.3,6,1
99,100,09:35:17:187,49,53.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,446.3,6,1
100,101,09:35:23:953,210,222.0,19.0,1.0,Topf_gross_Aufteilung1,Abgelehnt,412.8,6,1
101,102,09:35:30:484,18,18.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,461.4,6,1
102,103,09:35:37:078,24,24.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,594.6,6,1
103,104,09:35:41:421,53,57.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,443.5,6,1
105,106,09:35:54:546,135,143.0,11.0,3.0,Topf_klein_Aufteilung2,Angenommen,544.6,6,1
106,107,09:36:01:500,94,100.0,19.0,3.0,Topf_gross_Aufteilung2,Angenommen,472.3,6,1
108,109,09:36:13:515,91,97.0,11.0,1.0,Topf_klein_Aufteilung1,Abgelehnt,538.6,6,1
109,110,09:36:19:875,96,102.0,19.0,5.0,Topf_gross_Aufteilung3,Angenommen,497.2,6,1
